id,createdDate,updatedDate,version,category,authorizationId,createdBy,nameID,profileId,commentsId,privacy,forumId
351d2c17-8818-41b1-a61f-8f8d78b32ab0,"2024-09-10 09:20:07.997949","2024-09-10 09:20:08.000000",2,platform-functionalities,30dcd307-8573-46d0-a68d-86d8a4a3b1a5,3b1d4389-a7be-4c36-abfb-0f8baaf7dd30,september10discussion,89ac4b77-3164-4714-b906-b5b26cec0058,f554700e-245f-460e-a9de-88f513cccc4e,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
35312a69-8931-48f9-8706-8d157fa9824b,"2024-05-28 07:07:45.146723","2024-06-24 14:32:18.834527",2,platform-functionalities,626b9350-85f0-44b0-89e8-8b7f4902cb9c,efea4dfb-af17-411c-bf28-e42b390eebb0,test32233,a1eeb363-40d4-465e-9a9e-3408d89de487,29bd9896-bc8d-48ac-a64c-9cb77df4d74b,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
38bffaa4-f363-4935-a28b-adc2c0e39342,"2023-06-12 13:06:47.704799","2024-06-24 14:32:18.834527",4,community-building,e3a78ffa-a16c-4f80-9a73-03098e289b2d,cb5fc67d-7401-4f73-aa29-44e5d3052a7f,imagesnewlinks-5174,446b1e2d-210b-4e47-b310-32a5fa6ba2d1,fa35bcca-99e0-4197-8ae8-aef093fd534e,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
3a32c7f3-17a6-4dc6-9dcf-fc1c794ff8fc,"2024-03-25 12:01:35.396029","2024-06-24 14:32:18.834527",2,releases,9ea24d1c-35cf-4502-b4bd-b72c395ac77c,efea4dfb-af17-411c-bf28-e42b390eebb0,testrelease-5838,30c58d04-3c50-47ba-a7ae-baa87317064d,75bdc198-a6ac-4cef-bbe5-dd69ab8aa04b,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
3b60eca8-dd7d-43a3-bc72-76572d4ee56f,"2024-03-11 10:38:49.404474","2024-06-24 14:32:18.834527",2,platform-functionalities,5cabd6c1-aef5-4a26-bb00-9185f10a618a,a43f5255-e08a-400a-9512-f6d2536c506e,111-8227,a495ab99-c067-4b02-9a17-57db9fa4ecfd,a764e306-f798-4ea6-bf23-7cd80c4020c8,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
3d10249a-2d91-42db-a131-d007c7a3ba5c,"2023-07-20 14:21:15.023819","2024-06-24 14:32:18.834527",2,platform-functionalities,892c13c4-d78e-410c-9754-f6fdf54fe585,e56d3eb9-d209-439e-b0e1-bb16903c2773,release-20-07-2023-f-3981,69102a3e-094a-4a92-ac2b-28839d10aea3,bf7f9e72-1cc6-43ef-9c76-9b2c8bbc0e3d,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
3ec4ad43-7d17-41c5-b989-2bbfaafe431f,"2023-10-10 13:19:53.436180","2024-06-24 14:32:18.834527",2,platform-functionalities,f36c74f6-5eb2-4653-b992-a12bbf06ac6a,4bfed890-b89c-4dce-baa5-7fbaf2470882,pre-release-di-10-10-8246,49bcf60a-92b9-4f69-8a19-26f81ea906a2,4a5a9db5-d606-4c1c-aec3-226664ec8712,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
3ee3eae6-6730-436e-931e-abe3b79f6621,"2023-06-01 08:59:34.318961","2024-06-24 14:32:18.834527",4,community-building,dcff71ad-1e6e-4434-831a-6879c14eb307,4bfed890-b89c-4dce-baa5-7fbaf2470882,fromdemo-1208,fc574b5e-0122-4cb7-a34c-10278eeed2f9,7e3a2ced-1503-40d6-b544-bfb81cc08f8a,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
40dcb978-f8a0-4acd-99c0-7c5c944508a1,"2024-03-11 10:35:31.562825","2024-06-24 14:32:18.834527",2,challenge-centric,c1aab8eb-420a-478f-b656-aedc72e4cd46,a43f5255-e08a-400a-9512-f6d2536c506e,nongadiscussion-3956,9a1fb9d8-563c-45b3-afb3-4606de8574aa,dc9f9572-4631-4b19-8f23-2b2109ce2307,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
4973bc8d-b9fa-42b5-9f07-1a17f7c2dc94,"2023-08-31 08:56:47.705143","2024-06-24 14:32:18.834527",2,platform-functionalities,486e00d6-7e53-48e3-b02b-e78688208b03,7b335827-c6ab-4782-be44-39b0189fabe2,30-08-2023-3445,9e389137-32a0-44ce-a5fe-1ecbdc2158c5,b076c4b4-f049-4ee5-a777-10a111927938,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
