id,createdDate,updatedDate,version,credentialRules,verifiedCredentialRules,anonymousReadAccess,privilegeRules,type
552adf28-1d65-452c-a55e-38eefa151d8b,"2024-08-14 06:38:51.530222","2024-08-16 15:25:40.092875",1,,,0,,visual
55f3ff55-5316-4ee5-983c-4966d549e764,"2024-08-14 08:36:42.982380","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
574f0162-492a-4131-be89-e4d213cf27ec,"2024-08-14 08:32:50.919117","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
5f832f3d-5ea3-4e8a-9321-5d78bbeb8fa2,"2024-08-20 14:10:41.147370","2024-08-20 14:10:41.147370",1,,,0,,tagset
63e5bfff-3c61-4da1-be45-576069d278c8,"2024-08-21 07:30:30.587370","2024-08-21 07:30:30.587370",1,,,0,,tagset
64c2de97-9317-4c50-9f66-d06b8759c185,"2024-08-14 06:38:51.523657","2024-08-16 15:24:54.666432",1,,,0,,tagset
6609d3e4-03a2-4c30-9507-3924b1b9a376,"2024-08-14 06:38:50.917372","2024-08-16 15:27:23.293550",1,,,0,,templates-set
69a2b395-2a62-4c4f-848b-7b2a871b6619,"2024-08-09 10:41:26.662250","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
6c1e3c97-357d-4114-9a00-acef65710f12,"2024-08-14 06:38:51.046394","2024-08-16 15:24:06.541592",1,,,0,,profile
6dd6fd25-94e2-4534-a5df-38a94336d133,"2024-08-14 06:39:24.324077","2024-08-16 15:24:55.681663",1,,,0,,tagset
6ea451fb-f4a7-471a-ba50-0023105e8a11,"2024-08-14 06:39:23.796903","2024-08-16 15:27:30.089538",1,,,0,,template
6f6df75b-7c04-4188-a7bb-0386be4f058e,"2024-08-12 14:13:53.529380","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
7119fff9-c57c-4aee-8c8d-ec74aa79f4b2,"2024-08-14 08:13:48.814383","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
735953e9-8334-421e-a165-53fdb3325b0d,"2024-08-12 07:07:31.506268","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
768bb8b6-0822-4f98-b70b-82e90ce7dd3a,"2024-08-12 09:10:59.041664","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
76a3b7b4-d5e2-4419-b12c-ac6b46cbad14,"2024-08-14 06:38:51.231873","2024-08-16 15:25:44.554424",1,,,0,,visual
76ee9f2f-7f59-4015-a74f-50eb0a11aed4,"2024-08-12 07:26:56.552044","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
796971f4-710b-4b3a-a102-d79475606d9d,"2024-08-12 07:12:11.792559","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
7b179ed9-73a8-4c3b-955d-6ebce4271546,"2024-08-23 10:52:23.685876","2024-08-23 10:52:23.685876",1,,,0,,ai-persona-service
7c25f61a-3ca0-4f5f-be94-34dd10a0732d,"2024-08-12 10:53:10.198503","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
7e61e36e-e9e6-45df-9b8a-f10f39114840,"2024-08-14 06:39:23.643178","2024-08-16 15:27:30.089538",1,,,0,,template
