rowId,id,createdDate,updatedDate,version,triggeredBy,collaborationID,resourceID,description,type,parentID,messageID,visibility
2233,c89265f1-f2d7-43c3-8047-589504ec352e,"2022-09-15 10:53:05.117967","2022-09-15 10:53:05.117967",1,e05a5738-014c-4c95-a57d-35f03da2d156,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,77f6370f-d17e-4b7e-95da-6bc3bf6f544c,"[Community] New member: svetoslav petkov",member-joined,NULL,NULL,1
2260,cb17f625-fc94-418d-87df-19943179869b,"2022-10-05 14:06:17.358136","2022-10-05 14:06:17.358136",1,efea4dfb-af17-411c-bf28-e42b390eebb0,9372686b-ed65-43ce-9344-698a17868c1f,4f568c1a-386e-4a1e-a45c-f4d8d6d96aca,"[Community] New member: admin alkemio",member-joined,,NULL,1
2285,ceb4cf5c-07a6-4292-9110-c03b53f954f9,"2022-09-15 13:14:41.543949","2022-09-15 13:14:41.543949",1,d76aad8b-c176-4786-9564-eb17c3d70f1c,ae337800-92aa-41e3-9920-b58d4930a497,5b8b635e-3f57-4419-9df3-75a369faed80,"[Community] New member: Evgeni Personal",member-joined,NULL,NULL,1
2307,d1567528-b05b-4a4b-bc4f-a83a2aa1f106,"2022-09-28 13:02:14.952287","2022-09-28 13:02:14.952287",1,efea4dfb-af17-411c-bf28-e42b390eebb0,8cec4e90-ce76-464c-8d70-1c9d422eec61,81e7f811-4842-43f9-95bc-d358763481e3,"[Community] New member: admin alkemio",member-joined,,NULL,1
2312,d193a2ec-5431-4784-b413-1058e3fdd7ae,"2022-10-05 13:41:50.197036","2022-10-05 13:41:50.197036",1,4bfed890-b89c-4dce-baa5-7fbaf2470882,6b8bce91-d8c1-44dd-bac4-61e22d5092ca,6daec6d7-8979-4f42-8bca-32955abbf147,"[Community] New member: como que",member-joined,,NULL,1
2400,d7e7f346-c2dd-470a-a728-57c48f9827cc,"2022-09-15 11:05:48.255437","2022-09-15 11:05:48.255437",1,e56d3eb9-d209-439e-b0e1-bb16903c2773,c1fff6af-b82e-4f95-acbb-65829546f90b,5de06e23-ae60-4ae5-a78d-b7bc1e3d6e33,"[Community] New member: Valentin Yanakiev",member-joined,NULL,NULL,1
2438,dad71ace-826c-4ad6-b2bd-ff8ba2918eef,"2022-09-19 07:46:56.916285","2022-09-19 07:46:56.916285",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,ae337800-92aa-41e3-9920-b58d4930a497,6e348cc9-4810-449b-9da7-4627744e2b32,"[Callout] New Callout published: 'Collaborate visually'",callout-published,NULL,NULL,1
2443,db38c5e4-245d-4e75-a021-6b4b8cfed0c8,"2022-09-15 11:23:29.262390","2022-09-15 11:23:29.262390",1,4bfed890-b89c-4dce-baa5-7fbaf2470882,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,87eba309-206e-4830-8f2d-7b697e343813,"[Callout] New comment added on: 'Welcome, please introduce yourself to the community!'",discussion-comment,NULL,NULL,1
2461,dc859310-1674-4ab1-b161-0edcb32dcd97,"2022-09-16 06:53:51.833344","2022-09-16 06:53:51.833344",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,5cb8c90a-f0be-4300-8705-4a2b79e6b795,76ebc0fc-607d-46d0-9975-99e80f900d59,"[Callout] New Callout published: 'Why do you care about this Challenge?'",callout-published,NULL,NULL,1
2498,e0b92020-3246-4e0e-87aa-eec79375fbe4,"2022-10-11 12:21:03.101276","2022-10-11 12:21:03.101276",1,e05a5738-014c-4c95-a57d-35f03da2d156,203bc7c7-9623-4498-9bac-4a6d07b951c1,efdfa4b6-751b-48a4-a832-7f80188d612b,"[Community] New member: svetoslav petkov",member-joined,,NULL,1
2509,e1ab260e-b3a1-474d-9047-a6764b28f4d2,"2022-10-11 13:20:59.164472","2022-10-11 13:20:59.164472",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,c8cfbcb7-4a81-4be2-805f-d2c7b91e99f0,330dcb6f-33d3-4fb4-aa14-64d0e0b8533e,"[Community] New member: Evgeni Alkemio",member-joined,,NULL,1
2513,e2814ecf-5b6f-4369-8802-0ddc826066ee,"2022-09-15 13:15:16.059913","2022-09-15 13:15:16.059913",1,4bfed890-b89c-4dce-baa5-7fbaf2470882,ae337800-92aa-41e3-9920-b58d4930a497,b7ac73da-3d7f-416c-bc80-7ca5492af45d,"[Callout] New comment added on: 'Why do you care about this Challenge?'",discussion-comment,NULL,NULL,1
2552,e639335e-5279-4b3a-83fb-68eb598ce392,"2022-10-05 13:40:06.938568","2022-10-05 13:40:06.938568",1,e56d3eb9-d209-439e-b0e1-bb16903c2773,6b8bce91-d8c1-44dd-bac4-61e22d5092ca,6daec6d7-8979-4f42-8bca-32955abbf147,"[Community] New member: Valentin Yanakiev",member-joined,,NULL,1
2594,e9776f3c-15aa-4a69-8549-76638a7b84dc,"2022-10-11 13:35:35.177281","2022-10-11 13:35:35.177281",1,e05a5738-014c-4c95-a57d-35f03da2d156,aefccf85-b70c-4b0b-9fd5-4d1b26fde32a,3c2f044f-f05f-4ae5-9602-82113f69eefa,"[Community] New member: svetoslav petkov",member-joined,,NULL,1
2621,ec25b96b-dd57-4683-bc84-f8a9bae1ac87,"2022-10-11 13:22:58.944965","2022-10-11 13:22:58.944965",1,e05a5738-014c-4c95-a57d-35f03da2d156,c8cfbcb7-4a81-4be2-805f-d2c7b91e99f0,330dcb6f-33d3-4fb4-aa14-64d0e0b8533e,"[Community] New member: svetoslav petkov",member-joined,,NULL,1
