id,createdDate,updatedDate,version,resourceID,type,agentId,issuer,expires
2b203486-650c-45a6-8aaf-483995464070,"2023-07-11 10:31:00.269172","2023-07-11 10:31:00.000000",2,,global-registered,785b6d4a-c9aa-475b-802a-e9af878326d4,NULL,NULL
2bdcf583-ab65-44da-990f-30cb95f61fe4,"2023-12-15 13:43:21.251132","2023-12-15 13:43:21.000000",2,,beta-tester,8e467ab1-a143-43f9-9f48-ea28778b29b8,NULL,NULL
2e80b1c8-1218-4b90-9e58-b6bf5cce8030,"2024-08-06 14:38:23.105546","2024-08-06 14:38:23.105000",1,,global-registered,0d7e4779-ae73-42ea-a39b-bd3c7f0c4835,NULL,NULL
2ed6bf30-5c78-4f51-8580-9b63cc34118a,"2023-09-08 13:28:11.865532","2023-09-08 13:28:11.000000",2,,beta-tester,416edd99-4a87-4cbf-8718-e0cb1447c9c3,NULL,NULL
2fd94a92-1494-46e8-8765-d91bd6f3ef21,"2024-08-12 14:05:30.608564","2024-08-12 14:05:30.608000",1,,vc-campaign,8a86e55d-ac3b-40e5-a38d-42e936c4af64,NULL,NULL
3033f385-3d88-4851-927a-df9848fe464e,"2022-07-13 13:26:02.415371","2022-07-13 13:26:02.000000",2,,global-registered,b617087c-8504-4edb-812b-709a673e3471,NULL,NULL
32f1728e-b04d-4eb6-9fd2-acbd7923e1c0,"2024-04-08 08:25:57.225690","2024-04-08 08:25:57.225000",1,,global-registered,de735087-1f75-4f3e-915d-dfe726421eed,NULL,NULL
33830aaf-5791-403b-9063-336b39949a85,"2023-07-11 10:27:34.073330","2023-07-11 10:27:34.000000",2,,global-registered,150bce4e-10d5-4665-a6e3-4bf2dfa314ce,NULL,NULL
34960c99-87d1-41bf-b0c2-7a03baa1716a,"2023-12-12 14:24:31.502516","2023-12-12 14:24:31.000000",2,,global-registered,3426a666-e299-42cf-a2c0-cd6786fa792a,NULL,NULL
34a726b2-2771-464c-8029-e6949781539d,"2024-08-06 15:46:22.762785","2024-08-06 15:46:22.762000",1,,global-registered,f6123116-42ff-4667-ab70-0c3ed2597589,NULL,NULL
3693e867-ea82-4cac-b394-2ffbd38fca5e,"2024-06-04 08:34:33.451203","2024-06-04 08:34:33.451000",1,,global-registered,f23d2402-734c-430e-ba4f-b84e68e0a452,NULL,NULL
378e1878-613a-42b8-857e-53a96aa9c8fe,"2024-06-03 15:31:04.609720","2024-06-03 15:31:04.000000",2,,global-support,726dba9e-9e2b-4c1f-81e2-2f3373187025,NULL,NULL
385cf7a2-4d09-43b2-bc8b-e5f6a679988f,"2023-06-28 08:26:37.866034","2023-06-28 08:26:37.000000",2,,global-registered,0771532e-053f-4f7e-9f13-a207515d281a,NULL,NULL
386372d3-1db1-4615-8f0b-bcb7e04afd6e,"2024-08-20 08:33:33.178878","2024-08-20 08:33:33.178000",1,,vc-campaign,991e2fc0-ccde-46da-8699-f2683d43d4e9,NULL,NULL
39158462-9b13-47a5-831d-1432000505ed,"2024-06-05 09:51:55.244204","2024-06-05 09:51:55.244000",1,,global-registered,d24b73d4-5810-4fd2-840f-d876221f0ebc,NULL,NULL
39e0d95c-4650-45c3-b94f-ecc40bbcf2a1,"2024-08-13 14:24:16.634955","2024-08-13 14:24:16.000000",2,,global-license-manager,460f0042-8582-46dd-b5bd-4b66f2b93948,NULL,NULL
3a93e57f-f19e-4347-a010-909ce903af91,"2024-06-05 10:02:13.254353","2024-06-05 10:02:13.000000",2,,beta-tester,196ff97b-b763-48f6-b7aa-2c96cf327a47,NULL,NULL
