id,createdDate,updatedDate,version,authorizationId,parentStorageAggregatorId,directStorageId,type
0461a256-1200-4e44-82c7-0af592d85843,"2023-11-06 14:19:51.339560","2024-08-16 15:22:04.481627",1,8366c097-d2ee-4d34-94c1-453abed02b7e,bfaa9fb6-1131-4c14-a8d0-4d88b4ee3871,a8dd6b4c-01d0-434d-86f0-ffdc1e5d59bc,space
04a20d6a-84c5-451e-8310-b3f673c518a5,"2024-07-15 08:22:20.128131","2024-08-16 15:22:26.697769",1,278de30a-2988-48ac-84c9-859cb9f198d0,NULL,a3012329-8faa-4fdc-abae-8b929ee30fb3,user
04da7865-92a0-46a0-a3a0-eba4455d0a2c,"2023-11-06 14:19:02.486986","2024-08-16 15:22:04.509950",1,57731ba9-6822-4520-b925-9e6eab8736eb,NULL,3fac700b-f85c-4aca-b745-d8b5f12483b7,space
05057c24-ecc0-4f7e-8ce9-b5477d4f334a,"2024-08-27 14:19:15.129209","2024-08-27 14:19:15.129209",1,79268e48-edc1-44bf-b4f5-d9de54bec993,NULL,d5a3a34d-23c2-430d-8281-ea5b2b1c5b88,NULL
0544dc0d-f101-4a9a-9710-ddca266d4179,"2023-11-06 14:19:52.718306","2024-08-16 15:22:04.541812",1,fa61051c-ae16-438f-94e2-a4f90c080a04,6bffaba0-edd8-4fcc-a859-749175fd703c,789c4083-880e-4bec-a17a-6e45542249ba,space
05a7281f-8010-49f6-9993-2edf9d689b90,"2024-02-01 12:19:09.228651","2024-08-16 15:22:04.579609",1,36428040-6e00-47d3-af6f-6a2b81816c2e,755fa66b-74d5-40b5-b501-7be92317eee9,23da19bd-f0eb-426d-a9d9-1f4b1765ff71,space
0618551a-d6c8-4986-af2c-919efc6d30eb,"2023-11-06 14:19:10.665897","2024-08-16 15:22:04.610070",1,9d8852a1-c498-4a5b-94ea-b1a258caec4c,63bf6bc2-4365-4e73-af16-c9970596f9c2,ea5b83d2-c0bf-4aef-b3db-2de5f7c844ab,space
06755c95-2b52-4622-98d9-38c2eea5ed7e,"2023-11-06 14:19:09.547969","2024-08-16 15:22:04.642147",1,78e38194-caee-4409-b01d-d53f90463dde,NULL,cca06e81-2e89-444b-8489-a34de01d9668,space
07093537-567f-4df4-b21b-1f4cf2d1902e,"2024-06-28 14:12:21.087507","2024-08-16 15:21:57.361726",1,83403213-d906-4732-8250-e968992413b2,NULL,704c0a86-befa-4243-b07a-c638f4dc4f93,account
07159256-5954-40a8-91db-5e81d0453d8a,"2023-11-06 14:19:28.057336","2024-08-16 15:22:04.675048",1,320bd7f4-c941-42f6-8bac-13da5521a8c3,5eda1273-b84d-4936-9266-6ea93656a969,d4329dd4-6a73-42f5-95c8-5dde189999df,space
