id,createdDate,updatedDate,version,name,tags,authorizationId,profileId,tagsetTemplateId,type
009f08e5-db86-492c-94a4-94330481b66e,"2024-03-07 09:01:19.391274","2024-03-07 09:01:19.000000",2,default,,7257b881-566c-4e67-a7a7-ddb20164c0e9,2a4c0a8f-513c-472e-af0a-d927602c871d,NULL,freeform
00a131d0-4213-4461-a989-5c9d1794cd82,"2024-08-28 11:33:33.941068","2024-08-28 11:33:33.941068",1,default,,164892aa-5df8-437a-a082-27c35e9abb86,a949ec74-408d-4b40-923e-2b2a9016a45c,NULL,freeform
00a520e0-5ff7-4032-a3ed-bfb655e07436,"2023-05-12 06:56:58.878096","2023-07-10 12:33:23.101811",2,default,test,1648c7ff-d4b3-4658-8807-5e41c908f667,2d4ccd93-f584-41d9-a80c-e9890e47ec20,NULL,freeform
00a7bd62-0d6e-4713-8ae0-536df00a6d3b,"2024-03-28 13:50:27.730615","2024-03-28 13:50:27.730615",1,default,,e4ad7d16-2c81-4137-808f-a50bb7391054,beeecc20-8b32-4120-971c-27cffccd5e23,NULL,freeform
00a9da21-0099-427b-9f74-3c1da014b2be,"2024-04-08 11:52:58.647053","2024-04-08 11:52:58.000000",2,default,,b1b1d8aa-f6cf-4e0e-8697-201a6a0b572f,36878417-7dc0-49bd-b520-a5cc8c2be710,NULL,freeform
00b5599f-eaeb-4feb-aa5c-52692ec44b38,"2023-07-12 12:36:27.884533","2023-07-12 12:36:27.000000",2,default,,40c6a453-2b39-4bcc-9226-088c584e53ae,e4741e72-987a-44bc-8396-da6a360c25dc,NULL,freeform
00b6a947-b075-4e89-b4ab-c67752bdc433,"2024-05-02 09:07:03.774415","2024-05-02 09:07:03.000000",2,default,,94d32d6a-e84b-4a75-b72d-8486cc640fe9,5174b584-18ae-486d-8339-30df32c7b014,NULL,freeform
00baa3a5-0984-4bb4-842f-3e759a9a3189,"2024-04-30 18:58:44.836572","2024-04-30 18:58:44.000000",2,default,,ad6fcd36-6a63-4bbe-bc70-5380173e01a6,8c3e4d17-5d94-4735-8e0c-968e5018488b,NULL,freeform
00bcf8b0-57c9-40b0-be84-35fa32add576,"2024-01-19 08:53:53.027030","2024-01-19 08:53:53.027030",1,default,,9c078ee8-bb7f-44e4-82d3-cd395c732c61,NULL,NULL,freeform
00c19ad1-3d6b-4cfa-b047-a00fd80937fc,"2023-11-22 09:22:50.463992","2023-11-22 09:22:50.000000",2,default,,eeef4fe3-e7f9-4965-a2ae-0ab5f1feab6b,9e59a0de-e3d4-4611-b3c3-ca4646a292f1,NULL,freeform
00cd1026-e560-4122-abc5-3966be6bbcde,"2023-11-16 11:44:55.261750","2023-11-16 11:44:55.000000",2,default,Release-16-11-2023-challene2,17ca68f9-3ba6-436c-80e3-d7f6a247e340,a7722bc5-d957-4268-a267-1624d5a86c53,NULL,freeform
00ceece4-6bc2-4f16-a379-96e7186f43b6,"2024-06-03 20:00:25.895670","2024-06-03 20:00:25.000000",2,default,,93833490-8078-48e1-a1bb-62b9148fc6e3,02ec0090-4f41-49e7-bef5-6eba4191ee44,NULL,freeform
