id,createdDate,updatedDate,version,nameID,type,visibility,authorizationId,commentsId,collaborationId,sortOrder,publishedBy,publishedDate,createdBy,framingId,contributionPolicyId,contributionDefaultsId
00aea763-f9ff-4fdb-bcfd-60b145418719,"2024-06-19 10:33:09.409107","2024-08-09 08:37:33.000000",20,news,post-collection,published,b3cb28bd-8bd3-44aa-85c8-c93cbcddd1af,NULL,f4900f25-276d-4663-a1dc-2ab8e3b886da,1,NULL,"2024-06-19 10:33:09",efea4dfb-af17-411c-bf28-e42b390eebb0,fce8c4d0-0dbb-405e-aa0c-bfb8822f5ef0,1f6f0bc4-fa75-421f-bbee-79c4e6d52421,3aec620e-6040-4baf-a22b-c1d07c27f6b0
00b16768-b1ed-4b18-9971-0e6daf6a895a,"2024-02-01 12:19:11.575967","2024-08-09 08:38:04.000000",126,vision,whiteboard,published,bf4bafc1-2e15-44ef-be5c-b0a1f6ecb7bd,NULL,d1955028-11be-4121-948a-26933bdc1556,2,NULL,"2024-02-01 12:19:12",efea4dfb-af17-411c-bf28-e42b390eebb0,a2fd7473-8102-44c4-995b-f011b984cb43,ba1862ce-9244-4471-a120-f9f944bb63e7,f4049f2b-e0a2-4542-9848-0425c40b17c8
00d12a56-3c79-496e-b812-4e54c6d07fa6,"2023-05-03 14:45:43.919096","2024-08-09 08:37:47.000000",341,link-collection,link-collection,published,432cdc78-d81b-4732-9ca2-9f393d04262a,NULL,28439be2-72ec-451f-abc3-7e808aa67c9d,1,NULL,"2023-05-03 14:45:44",NULL,f8ea907f-aaae-4dfe-8f8e-355c5c14e692,9a9bc826-b75b-496f-a2ca-d57c4cb5db83,9782f644-6d6e-4ba8-9756-919c5eff76db
00db0079-c77d-4ed1-be1a-a8a44713ef77,"2024-07-01 12:33:28.494802","2024-07-01 12:33:34.000000",2,interacting-with-vc,post,published,9c8ccbd3-531f-428f-ba58-23f7cf8f1b72,c99ea4e5-bd6a-4b8f-904b-19353adff891,cbc96ecb-37ec-43f8-8bd0-088965b19978,3,NULL,"2024-07-01 12:33:28",a3e2b243-9e85-4fb5-8bd7-314a5ba625b0,5085483b-e044-4dc7-a4c1-38d6da787a2c,588e9aae-893c-4e78-9da6-1104224bbd0d,4989afcd-9cc3-48c7-adec-8a0b0cde2e8f
00e8274b-ede2-4767-9430-6f7ba8cee15b,"2024-05-28 13:08:51.284276","2024-08-09 08:37:40.000000",50,news,post-collection,published,caff4b4f-9d28-4d06-ad4c-0d249fb2e9b0,NULL,f825c02d-13b3-4062-8a11-53dc1aca0336,10,NULL,"2024-05-28 13:08:51",d3521bff-a6b5-4a5c-bf67-1d60347a5e9b,ecfca04d-2895-4467-9d59-08cf494242be,7b48f8d7-c01c-43c0-be3a-ca45437c05d5,80f462a8-cd14-4924-b30f-8c69d6e02e5d
00ec063a-d540-477a-b3c1-fda5ddb775ac,"2024-08-14 08:13:29.187349","2024-08-14 08:13:29.187349",1,about-knowledge-base,post,published,454847be-3774-4e7d-8ed2-82f8c0fdc942,2e78308e-4f1e-4054-9494-7217b7f779dc,2fbb03b3-133f-4d7c-a590-aaedc75c256d,1,NULL,"2024-08-14 08:13:29",6e13b4ce-04bc-428f-ac17-fbf81a23111c,74ff2140-5a41-4a7e-8190-eecc601a1cd3,92b74029-8263-4f14-a632-b5e849e4a430,5b4ca80d-06e4-47c6-987a-9fac0d30769e
00ee60fa-5bda-468b-b8dc-85dcd23bd212,"2023-08-31 09:29:27.747489","2024-08-09 08:38:29.000000",172,documents,link-collection,published,7a4b7e55-4831-4e71-aad2-e6d45340bca0,NULL,e0bd0213-a826-40e6-9c5f-deab80df3348,3,NULL,"2023-08-31 09:29:28",86d82fe6-1be4-4ca0-b4ea-6b1bcbfd9b38,84230f97-faaa-4128-a7b2-8986fe5dc185,4c8eaff2-79c8-4327-9d41-0086791f98b8,4404ddbd-83a9-462b-9c3a-00c226e1f02a
00f032c9-8094-4344-b456-69538db76156,"2023-05-03 14:45:41.778449","2024-08-09 08:37:21.000000",404,link-collection,link-collection,published,a2580a54-b9d3-472f-bc0e-1d72ac537d89,NULL,be909877-f58a-44e2-85f9-30c8b13480e6,1,NULL,"2023-05-03 14:45:42",NULL,626d7083-d3b5-455e-bdc4-968c3b59f365,d28bd328-6286-4aab-b7e5-547ae747efd5,ec22a2f3-eaf6-403b-8fb4-35b1c81e674d
00f8d42a-ae8d-42a2-bbfe-5f3eab96f42e,"2022-09-26 06:55:27.745420","2024-08-09 08:37:34.000000",553,canvas-default,whiteboard-collection,published,f71c79ef-335d-46e3-a6de-8c0ef2332f9d,NULL,a98d71c0-fdc3-473d-9644-97580bea6f57,5,NULL,"2022-09-26 06:55:28",NULL,9b1d1caa-e2e6-4c4e-b9a3-ff0ec671293f,c76e5943-3d5a-449d-a552-4a80f24d419c,fcd45ccd-5a68-49a7-8ac0-0697c5632623
01135828-1307-480d-bea8-e70058df1f3a,"2024-07-19 07:49:10.027143","2024-07-19 07:49:13.000000",2,general-chat,post,published,90b10559-5722-4b0d-9122-85efa0f0cccd,f3d27d55-a5bb-4d49-95c0-a2fd416ae3f3,d6981a19-4b5d-4c01-ad7a-206214716c13,2,NULL,"2024-07-19 07:49:10",9c3f6da5-a69e-4ad3-ab0a-8081f41c9506,e3a61323-a344-4800-adcb-60342d3b72df,b4a8120f-6bce-447d-b948-6ab035b26028,8ac5ba57-e9e4-4f12-99df-3cdaf2d12041
