id,createdDate,updatedDate,version,name,uri,description,authorizationId,profileId
6dedcb78-4967-40db-b594-05a484957a59,"2023-08-22 10:09:33.522439","2023-08-22 10:09:33.000000",2,twitter,,"User profile on Twitter",01544d51-0f32-4b57-946f-a47610608dc6,19eb1d8e-90ad-480f-afb2-b9da9f036c63
6dfd222f-26a3-4084-a574-a1384f3c0cdf,"2022-08-24 13:14:48.150938","2022-08-24 13:14:51.000000",2,github,,"User profile on GitHub",cc87e9ff-3212-474b-bc52-a572a25a166e,89deb1ec-3ba4-421d-ae1d-e00e58ead6e6
6e3fba1f-b757-489b-b1c3-036708dcc439,"2023-04-21 13:50:58.255199","2023-04-21 13:50:58.000000",2,"Member whiteboard callout dashboard left",http://www.test.com,,d4532e7a-39e6-486a-a575-02f1eb80c410,3ac47b53-547d-4472-bf2b-b717fec3c3e7
6ec10bc8-d05c-4de5-8e86-b89e52b3e1c9,"2023-07-11 10:27:32.318421","2023-07-11 10:27:32.000000",2,github,,"User profile on GitSpace",17eec576-4477-4612-b0f3-0c544e67af7f,facad00a-eec9-4a60-8724-37f3d3768650
6eef200e-cdf0-4f72-84c3-a44c5345b0f0,"2024-05-02 08:14:47.175495","2024-05-02 08:14:47.000000",2,github,,"User profile on GitSpace",0d777ff4-1e21-4fc5-b842-b2bc34d45c41,cbb88b93-79b0-4b85-a7cf-3fc2b40c9919
6f233357-1c7d-4e0b-bf33-f797adf687af,"2023-08-22 10:31:48.314238","2023-08-22 10:31:48.000000",2,alkemio,https://alkem.io,,b45b4823-c3ba-428e-a9fd-9b5c36e9b1ba,dbc77b6c-2ce1-40ad-939d-b27e7474ea10
6f3d8eea-d73a-48b2-be4b-096ef23c8b7a,"2024-07-31 09:27:48.804785","2024-07-31 09:27:48.000000",2,twitter,,"User profile on Twitter",d52c3cef-146f-4b5a-b833-eb625b3e2120,7ed9775a-d3b1-493d-b9a8-d969ffbfaecf
6f41bb57-2fdc-42bd-8e47-40bb6c573d0c,"2023-07-11 10:27:32.327686","2023-07-11 10:27:32.000000",2,twitter,,"User profile on Twitter",39502bef-5b81-42f1-a2de-fdd33206d8bc,facad00a-eec9-4a60-8724-37f3d3768650
6f9b13c8-bd8d-4ce0-86bd-4f1a7a759ef1,"2023-04-21 13:57:03.722431","2023-04-21 13:57:03.000000",2,"New reference",,,6ca1aecb-924a-409e-b063-241226a79603,b3a6338e-93c8-4c77-bb8e-7e55d28275a5
6f9c6e91-db5f-42ca-b3d4-6d979d3810ae,"2022-07-13 14:21:37.228170","2023-03-21 12:48:47.281894",2,jitsi,https://meet.jit.si/ecoverse_un-sdgs_ch14,"Jitsi meeting space for the challenge",5deaa0a4-e052-4520-bd08-136be7e83c87,0748ed09-bd1c-493f-be6c-acfc609f8722
6fd7d48f-e5a8-459c-b155-0cac3819048f,"2023-10-11 11:06:25.762155","2023-11-22 16:54:32.341335",4,Release-11-10-2023-space,https://acc-alkem.io/api/private/rest/storage/document/0e96d309-67ea-43b8-973d-880cce5da717,Release-11-10-2023-space,733407c5-3cd4-4483-9665-f86d25cce13a,9e139c3e-9e33-4514-80db-1f77fb71f507
6fe1cca1-c4d4-4081-88ed-b5e4e97c6be7,"2024-08-12 07:05:43.471734","2024-08-12 07:05:43.471734",1,github,,"User profile on GitSpace",a5d0e5de-dd91-4cd8-ac1e-eba08dc29669,7a8a082a-b2af-4238-ba07-ce153301665c
7019eb7b-3417-4b2d-9865-98044db8e2f1,"2023-09-28 07:59:31.062996","2023-09-28 08:01:17.000000",3,linkedin,https://test.com,"User profile on LinkedIn",73f2a5fa-c03b-4b63-b6b8-c7370e2cc595,fd579340-97d3-47af-9024-49aa93597a7f
