id,createdDate,updatedDate,version,authorizationId,tagsetTemplateSetId,timelineId,innovationFlowId,groupsStr
080224b2-7038-4001-8d56-608f2ee301f7,"2024-06-28 23:24:11.541575","2024-06-28 23:24:11.541575",1,33c7016a-9560-44a4-9543-e8414729d91c,41fc4ec6-d379-4e75-a7d0-7ac6081130a5,fca9fcfc-940e-4773-8292-57cf99c66c6e,1a51e6dc-f14a-415b-850b-5beb4bb0ef32,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
085788ed-f5d0-45da-b692-fd23ec02320d,"2023-02-03 11:27:39.363092","2024-04-30 14:44:21.095626",1,dc459c0e-07f2-4490-a4bb-349762a7ef1a,2cd97e0a-787a-443f-bcd4-77c512e0b7eb,8475bdb4-c2ae-4904-9f10-5f8195beeb15,e406fcae-d392-4cdb-862f-98b9cad111a1,"[{"displayName":"HOME","description":"The Home page."}]"
08802a91-8392-4fbd-81be-9e4a79c737f8,"2023-08-22 15:07:04.536537","2024-04-30 14:44:21.095626",1,ec154287-9b96-43c9-8feb-ee65098bf326,9e73e9f7-ae25-42a0-973f-43ad892d406c,4783d8c3-378c-4128-a560-fd96fb7ea375,2b4b96b4-a9c8-4957-bdfa-89329858f0c0,"[{"displayName":"HOME","description":"The Home page."}]"
089a3bae-1e5d-4cbc-a77e-1a7771655372,"2024-07-19 12:29:27.183215","2024-07-19 12:29:27.183215",1,4e454823-23e3-4775-8c39-eb59ea1efe0c,566fd85c-a3e4-45dc-9c98-a47365c368b9,21bf064a-08ba-4471-b35c-55ffcbe9e241,6d5eea12-c066-4919-800c-3805b2406eef,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
092b45d2-7adc-4354-adad-6007151038e3,"2024-06-25 17:48:07.828226","2024-06-25 17:48:07.828226",1,39643115-fa38-4d6a-a07f-5f4fe4a52407,f73aa733-d1a2-4a5f-955f-2155e6ac5897,048d8330-a6b3-4ee1-b4d6-0c69f6258d6e,24e6dd1e-1872-4f7c-bc6d-f84abf0c4354,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
09be3479-63e7-482a-917f-2754fcda7062,"2023-06-15 08:36:45.528051","2024-04-30 14:44:21.095626",1,c68b2697-b5ce-42e7-82bc-10c0a959c9a2,84375b49-bfab-4f8c-8900-fa1f4c61a60e,973465f6-8550-4006-8492-e5d596dca15c,21cdf1aa-4c50-44c1-a4a3-e31f55c6f9f2,"[{"displayName":"HOME","description":"The Home page."}]"
0a04677a-2f17-4660-b05f-adaafb437766,"2023-08-21 12:03:14.599433","2024-04-30 14:44:21.095626",1,bedfd500-d26e-4d31-bae8-d31d59ed68be,c5934dfe-985f-4ab3-9f0a-ae2bcb1fa6ff,c910205a-e3a7-4a8c-aa30-35a6c87c07be,7bf2a574-51f7-40ff-8182-57cd6b11e86f,"[{"displayName":"HOME","description":"The Home page."}]"
0a367828-15b9-4eea-9484-e0c5fd4b8bc5,"2024-08-21 07:38:53.089303","2024-08-21 07:38:53.089303",1,d2895440-d3d8-4854-819a-8b2848b4461c,c3737a46-9f3f-41ed-8994-214467a0c6e1,20ed010e-b84e-4e21-bca8-c582e8774cb2,e1174c5c-0dc2-40e2-b612-bfb54b144a6f,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
0a5111d3-0013-40d6-99e3-898d7c91819b,"2024-06-28 12:15:18.836839","2024-06-28 12:15:18.836839",1,43a9a0a9-3a88-4e25-9071-5c540f195261,8d6bdf89-7ab9-4aff-9d96-26d1c3630b00,3645fc1b-adf1-4b7d-8f32-d9fcef76a443,52174dcc-64b8-4d4e-8d05-f07f05babd35,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
0acac71a-90eb-4293-abcb-b5efbdb99adc,"2023-08-17 09:12:42.603287","2024-04-30 14:44:21.095626",1,2597c60e-c1ae-460c-a205-442aaf956f3a,7d27b5a8-6d30-4563-9711-af109a61ba1b,74456c17-dea2-4a9d-bc86-41b9c5934ae5,7dc52dd8-3e04-4f4b-9895-af450a2b21c8,"[{"displayName":"HOME","description":"The Home page."}]"
0ad15db4-5e7f-40ab-b6dc-7024a9989303,"2024-07-01 09:25:36.387913","2024-07-01 09:25:36.387913",1,af945e71-bb2b-4c84-bd1c-33573c690057,a202f7c6-155c-4402-a856-1a43e17118ee,a2578801-3c6f-42df-819c-a05582186a44,aa38830d-7310-40af-a5af-75815f1d1a4b,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
0b511d96-d3ef-43ca-bd6c-e06a990d6fc7,"2024-08-12 07:27:04.317016","2024-08-12 07:27:04.317016",1,17e25930-2218-42c6-90fd-6d0b92b07995,22069ed5-077e-4af7-8d2d-83baedecdf50,b3d34b7c-6b49-4e12-87be-3c2f460e1d15,cf86b41e-b59c-43ba-8887-113354dff905,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
0c3b2714-b20f-465d-a60f-7edd69c8640c,"2023-02-21 08:33:04.977526","2024-04-30 14:42:28.989074",1,41646981-f9bc-4ece-8a56-8c42c2cce3d5,07bf5e68-25d9-46a3-bb70-6c07ccff5b9b,6bcaba9d-8ad5-4c67-989e-c6bfbf898330,56d62399-f163-4984-ae8e-fd1329c43782,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
0c63a2e3-8d4f-46cf-a134-a2a75017e86b,"2024-08-12 07:00:36.956409","2024-08-12 07:00:36.956409",1,cb8ff913-67b1-45cf-b005-0fa0f7cee843,c14a505e-b33e-4617-ba26-a140c8a930e5,01a0ff5e-0862-4f49-ae78-5dd63e0e25b4,0840ef20-89ed-47a2-b366-c0c8fbfa9393,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
0ca6aee3-5497-4a01-8da5-07c4189969a6,"2024-03-12 12:34:30.559701","2024-04-30 14:44:21.095626",1,09693b18-061f-4443-aa5e-3793e025d143,1d8db551-7bb1-4e7f-a074-6f6a0651723f,c3990a3e-bcc8-4f54-8961-9d28760dfeaf,0795d357-8155-4202-84b0-41ab28b8c04f,"[{"displayName":"HOME","description":"The Home page."}]"
0cfbee40-bcb7-42b6-b92b-1bb2f517e03c,"2024-08-12 10:51:20.989898","2024-08-12 10:51:20.989898",1,5372ccc9-e1d1-430d-b1fa-8cb06b7ec48a,30861657-772f-4937-a5e2-0452c743fb39,ff62e709-ecf5-4f10-b024-541922a5197f,8b9af4da-5ba1-47a9-9191-8eb1419ece50,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
0d06a0fe-6609-4982-ba1e-73ed680e8ad3,"2023-08-16 15:34:42.721396","2024-04-30 14:44:21.095626",1,95ae4fb1-2265-4c4a-8d77-d1cb94211dc5,7d6dee82-c9b9-4b50-9fc3-1271d5ffbef3,0608f2ce-cdc3-4adb-a362-334e67c8b59e,cce10cb0-6d63-462a-9aac-47a4f394e1fa,"[{"displayName":"HOME","description":"The Home page."}]"
0d0b2230-7de9-44eb-b601-91b10c594224,"2024-06-03 20:00:19.344760","2024-06-03 20:00:19.344760",1,6880a447-47c3-43ff-80b7-bfb5d960d13d,a21d65f2-7c06-444f-a84f-3e22036b13a8,5c94073d-3a87-4759-b29c-e9e16c3a0dbd,f80c4ef3-932d-4abd-ad7f-edd21b4cbc59,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
0d5df512-da8b-48cc-948a-90b3ee9183a1,"2023-08-22 09:49:19.979334","2024-04-30 14:42:29.075830",1,2aeca2df-7ba2-46d2-8b4d-2cc0fdfc5264,80187d2a-85fe-4c2d-bb05-2761564ab4cd,c87ec771-3153-40a4-93a7-a236a39881b6,07301d63-51bc-4fdf-9631-0b48060c964c,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
0d7e2d72-3692-4393-bfd4-b65af8382a22,"2024-03-07 09:24:45.555465","2024-04-30 14:44:21.095626",1,5bfb8c64-e62b-4447-9d58-d18864b28673,f1e78c18-9b83-4ab9-beee-2c10ed9615ee,36935563-9454-4c22-a6bd-df0c5594e02b,14118675-f28b-4578-9b1e-9a74cca071b5,"[{"displayName":"HOME","description":"The Home page."}]"
0e040f80-eccb-4d93-8c50-9dd5bd7d917d,"2023-07-20 12:02:53.417923","2024-04-30 14:44:21.095626",1,c6b2427f-b35a-40e0-9c53-27439895cbaa,ac8501b0-22c7-43b4-b5f3-ef7d41fcc6a6,707ec487-eaa0-411b-bf38-e45e13fb1f85,af84c47c-2b72-4ee1-81a6-b3bbdd1628ac,"[{"displayName":"HOME","description":"The Home page."}]"
